Browser,screenH,screenW,workerid,OS
Chrome,1440,2560,107,Mac
Chrome,768,1366,108,Windows
Safari,1024,768,109,Mac
Chrome,1080,1920,110,Linux
Chrome,768,1366,111,Windows
Chrome,768,1366,112,Windows
Chrome,768,1366,113,Windows
Chrome,768,1360,114,Windows
Chrome,768,1024,115,Windows
Chrome,1080,1920,116,Windows
Chrome,768,1366,117,Windows
Chrome,1080,1920,118,Windows
Chrome,768,1366,119,Windows
Chrome,768,1366,120,Windows
Chrome,768,1366,121,Windows
Chrome,900,1600,122,Windows
Chrome,720,1280,123,Windows
Chrome,768,1366,124,Windows
Chrome,900,1440,125,Windows
Chrome,768,1366,126,Windows
Chrome,768,1366,127,Windows
Chrome,864,1536,128,Windows
Chrome,768,1366,129,Windows
Chrome,1024,1280,130,Windows
Chrome,1440,2560,131,Mac
Chrome,1200,1920,132,Windows
Chrome,768,1364,133,Windows
Chrome,768,1366,134,Windows
Chrome,864,1536,135,Linux
Firefox,1080,1920,136,Windows
Chrome,768,1364,137,Windows
Chrome,768,1366,138,Windows
Chrome,768,1364,139,Windows
Chrome,768,1366,140,Windows
Chrome,900,1600,141,Windows
Chrome,768,1366,142,Windows
Chrome,1200,1920,143,Windows
Chrome,768,1366,144,Windows
Chrome,768,1366,145,Windows
Chrome,1440,3440,146,Windows
Chrome,900,1440,147,Windows
Chrome,1050,1680,148,Windows
Chrome,864,1152,149,Windows
Chrome,720,1280,150,Windows
Firefox,1080,1920,151,Windows
Chrome,768,1366,152,Windows
Chrome,768,1366,153,Windows
Firefox,576,1024,154,Windows
Chrome,768,1366,155,Windows
Chrome,768,1364,156,Windows
Chrome,768,1366,157,Windows
Chrome,1080,1920,158,Windows
Chrome,768,1366,159,Windows
Firefox,1080,1920,160,Windows
Chrome,768,1366,161,Windows
Chrome,768,1366,162,Windows
Chrome,768,1024,163,Windows
Chrome,1080,1920,164,Windows
Chrome,768,1366,165,Windows
Chrome,768,1366,166,Windows
Chrome,768,1364,167,Windows
Chrome,1080,1920,168,Linux
Chrome,768,1366,169,Linux
Chrome,768,1364,170,Windows
Chrome,900,1440,171,Mac
Chrome,768,1366,172,Windows
Chrome,768,1366,173,Windows
Chrome,720,1280,174,Windows
Chrome,1200,1920,175,Windows
Chrome,1080,1920,176,Windows
Chrome,1080,1920,177,Windows
Chrome,1440,2560,178,Mac
Chrome,768,1366,179,Windows
Chrome,800,1280,180,Windows
Chrome,960,1707,181,Windows
Chrome,768,1366,182,Windows
Chrome,768,1366,183,Windows
Chrome,900,1600,184,Windows
Chrome,768,1366,185,Linux
Chrome,1080,1920,186,Windows
Chrome,768,1366,187,Windows
Chrome,864,1536,188,Windows
Chrome,768,1366,189,Windows
Chrome,768,1366,190,Windows
Chrome,840,1344,191,Windows
Chrome,615,820,192,Windows
Chrome,800,1280,193,Windows
Chrome,768,1366,194,Windows
Chrome,864,1536,195,Windows
Chrome,615,1088,196,Windows
Chrome,768,1366,197,Windows
Chrome,800,1280,198,Windows
Chrome,1080,1920,199,Windows
Chrome,768,1366,200,Windows
Chrome,768,1366,201,Windows
Chrome,768,1366,202,Windows
Chrome,800,1280,203,Mac
Chrome,1080,1920,204,Windows
Chrome,768,1366,205,Windows
Chrome,768,1366,206,Windows
Chrome,768,1366,207,Windows
Chrome,768,1024,208,Windows
Chrome,768,1366,209,Windows
Chrome,1080,1920,210,Windows
Chrome,768,1364,211,Windows
Chrome,768,1366,212,Windows
Chrome,800,1280,213,Mac
Chrome,864,1536,214,Windows
Chrome,768,1366,215,Windows
Chrome,846,412,216,Linux
Chrome,1080,1920,217,Windows
Chrome,768,1366,218,Windows
Chrome,1080,1920,219,Windows
Chrome,768,1366,220,Windows
Chrome,720,1280,221,Windows
Chrome,768,1366,222,Windows
Chrome,720,1280,223,Windows
Chrome,850,1280,224,Linux
Chrome,768,1366,225,Windows
Chrome,768,1364,226,Windows
Chrome,864,1536,227,Windows
Chrome,1050,1680,228,Mac
Chrome,768,1366,229,Windows
Chrome,768,1366,230,Windows
Chrome,1080,1920,231,Windows
Chrome,768,1366,232,Windows
Chrome,1080,1920,233,Windows
Chrome,864,1536,234,Windows
Chrome,1080,1920,235,Windows
Chrome,950,450,236,Linux
Chrome,1080,1920,237,Windows
Chrome,1080,1920,238,Linux
Chrome,864,1536,239,Windows
Chrome,768,1366,240,Windows
Chrome,768,1366,241,Windows
Firefox,1080,1920,242,Windows
Chrome,900,1440,243,Mac
Chrome,1440,3440,244,Windows
Chrome,768,1366,245,Windows
Chrome,768,1366,246,Windows
Chrome,1080,1920,247,Windows
Chrome,768,1366,248,Windows
Chrome,900,1600,249,Windows
Chrome,1080,1920,250,Windows
Chrome,768,1024,251,Windows
Chrome,768,1366,252,Windows
Chrome,768,1366,253,Windows
Chrome,820,1024,254,Windows
Chrome,768,1366,255,Windows
Chrome,1080,1920,256,Windows
Chrome,768,1366,257,Windows
Chrome,768,1366,258,Windows
Chrome,768,1366,259,Windows
Chrome,768,1024,260,Windows
Chrome,768,1366,261,Windows
Chrome,768,1366,262,Windows
Chrome,1080,1920,263,Windows
Chrome,768,1366,264,Windows
Chrome,768,1364,265,Windows
Chrome,618,1098,266,Windows
Firefox,1200,2133,267,Mac
Chrome,768,1366,268,Windows
Chrome,1080,1920,269,Windows
Chrome,768,1366,270,Windows
Chrome,1080,1920,271,Windows
Chrome,1080,1920,272,Windows
Chrome,1050,1680,273,Mac
Chrome,1080,1920,274,Windows
Chrome,768,1364,275,Windows
Chrome,768,1366,276,Windows
Chrome,1080,1920,277,Windows
Chrome,1290,596,278,Linux
Chrome,768,1360,279,Windows
Chrome,768,1366,280,Windows
Chrome,768,1366,281,Windows
Chrome,965,1715,282,Windows
Chrome,768,1366,283,Windows
Chrome,720,360,284,Linux
Chrome,1080,1920,285,Windows
Chrome,864,1536,286,Windows
Chrome,768,1364,287,Windows
Chrome,768,1366,288,Windows
Chrome,768,1366,289,Windows
Firefox,768,1366,290,Windows
Chrome,768,1366,291,Windows
Chrome,768,1366,292,Windows
Chrome,768,1366,293,Windows
Chrome,1080,1920,294,Windows
Chrome,1440,2560,295,Linux
Chrome,768,1366,296,Windows
Chrome,768,1366,297,Windows
Chrome,768,1366,298,Windows
Chrome,768,1366,299,Windows
