workerid,proliferate.condition,Word,content,exp,object,response,rt,slide_number_in_experiment,speakerGender,speakerName,utterance,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
1686,condition1,insult,Julian cleaned his room,stim,,0,3544,29,M,George,Is Amanda insulted that Julian cleaned his room?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,love,Emily bought a car yesterday,stim,,0,2951,30,F,Elizabeth,Did Eli love that Emily bought a car yesterday?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,require,Fred missed the train,stim,,0,5742,31,M,Richard,Did Heather require that Fred missed the train?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,,Hendrick's car was expensive,control,,1,3274,32,F,Nancy,Was Hendrick's car expensive?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,irritate,Frank got a cat,stim,,0,4526,33,F,Michelle,Is Nicole irritated that Frank got a cat?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,envision,Zoe calculated the tip,stim,,0.21,7260,34,M,Mark,Did Colby envision that Zoe calculated the tip?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1686,condition1,dictate,Mia drank 2 cocktails last night,stim,,0.79,6907,35,M,Kenneth,Did Brian dictate that Mia drank 2 cocktails last night?,[],24,Yes,,3,1,Female,English,Chrome,Windows,720,1280,3.32075,
1701,condition1,,,,Mary,Mary,0,1,,,bot_check,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,promise,Fred missed the train,stim,,0.01,10540,3,F,Carol,Is Brenda promised that Fred missed the train?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,trouble,Sophia got a tattoo,stim,,0.94,18083,4,F,Lisa,Is Dennis troubled that Sophia got a tattoo?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,fantasize,Connor fell from a tree,stim,,0.08,10539,5,M,Robert,Did Kathleen fantasize that Connor fell from a tree?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,whine,Valerie booked the venue,stim,,0.03,11536,6,F,Nancy,Did Andrew whine that Valerie booked the venue?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,compute,Natasha got a promotion,stim,,0.04,10319,7,M,James,Did Colby compute that Natasha got a promotion?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,,Mary's aunt is sick,control,,0.99,5870,8,M,George,Is Mary's aunt sick?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,anticipate,Courtney woke up early yesterday,stim,,0.02,8991,9,F,Helen,Did Tim anticipate that Courtney woke up early yesterday?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,shock,Julian cleaned his room,stim,,0.04,6563,10,F,Sarah,Is Stephanie shocked that Julian cleaned his room?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,write,Molly attended a conference last week,stim,,0.03,9376,11,F,Elizabeth,Did Ben write that Molly attended a conference last week?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,elaborate,Jayden rented a car,stim,,0.04,15600,12,M,Matthew,Did Cynthia elaborate that Jayden rented a car?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,distress,Emilia looked after the kids,stim,,0.02,12832,13,F,Linda,Is Ray distressed that Emilia looked after the kids?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,,Vanessa is good at math,control,,0.94,8230,14,F,Jessica,Is Vanessa good at math?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,verify,Lucas bought new shoes,stim,,0.04,16149,15,F,Susan,Did Rebecca verify that Lucas bought new shoes?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,facinate,Emily bought a car yesterday,stim,,0.02,16193,16,F,Karen,Is Brian fascinated that Emily bought a car yesterday?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,celebrate,Frank got a cat,stim,,0.05,4902,17,M,William,Did Laura celebrate that Frank got a cat?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,bet,Cole celebrated his friend's birthday,stim,,0.09,40969,18,M,Steven,Did Kaitlin bet that Cole celebrated his friend's birthday?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,,Todd played football in high school,control,,0.95,19868,19,F,Sandra,Did Todd play football in high school?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,scream,Jason made a cake,stim,,0.03,8067,20,F,Kimberly,Did Shirley scream that Jason made a cake?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,retract,Louis went swimming,stim,,0.04,19474,21,F,Betty,Did Amanda retract that Louis went swimming?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,dictate,Grace visited her sister,stim,,0.03,6017,22,F,Jennifer,Did Patrick dictate that Grace visited her sister?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,think,Danielle painted her room,stim,,0.02,6668,23,M,Logan,Did Eli think that Danielle painted her room?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,squeal,Allen went to the museum,stim,,0.03,20633,24,M,Thomas,Did Heather squeal that Allen went to the museum?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,disgust,Owen shoveled snow last winter,stim,,0.15,49664,25,F,Michelle,Is Melissa disgusted that Owen shoveled snow last winter?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,,Madison had a baby,control,,0.92,8374,26,F,Ashley,Did Madison have a baby?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,weep,Danny ate the last cupcake,stim,,0.06,11625,27,M,Richard,Did Ruth weep that Danny ate the last cupcake?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,thrill,Hannah called her parents,stim,,0.03,9806,28,M,Kenneth,Is Justin thrilled that Hannah called her parents?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,insult,Josie went on vacation to France,stim,,0.04,9874,29,M,Paul,Is Jerry insulted that Josie went on vacation to France?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,,Hendrick's car was expensive,control,,0.96,7393,30,M,Mark,Was Hendrick's car expensive?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,irritate,Mia drank 2 cocktails last night,stim,,0.04,8416,31,M,David,Is Bobby irritated that Mia drank 2 cocktails last night?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,aggravate,Jon went out for dinner,stim,,0.05,17185,32,F,Donna,Is Regina aggravated that Jon went out for dinner?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,charm,Emma studied on Saturday morning,stim,,0.04,10236,33,M,Christopher,Is Noah charmed that Emma studied on Saturday morning?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,alarm,Olivia left her job,stim,,0.05,8391,34,F,Margaret,Is Alan alarmed that Olivia left her job?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1701,condition1,,Zack is coming to the meeting tomorrow,control,,0.93,10600,35,F,Dorothy,Is Zack coming to the meeting tomorrow?,[],44,Yes,,4,1,Female,English,Chrome,Linux,869,412,8.693833333333334,
1613,condition1,,,,Mary,Mary,0,1,,,bot_check,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,shout,Jayden rented a car,stim,,0.14,18187,3,M,Mark,Did Laura shout that Jayden rented a car?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,envision,Emily bought a car yesterday,stim,,0.67,8856,4,F,Dorothy,Did Bobby envision that Emily bought a car yesterday?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,promise,Louis went swimming,stim,,0.24,19804,5,M,Logan,Is Sharon promised that Louis went swimming?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,weep,Hannah called her parents,stim,,0.07,15552,6,F,Nancy,Did Colby weep that Hannah called her parents?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,dictate,Jackson ran 10 miles,stim,,0.11,10840,7,F,Carol,Did Stephanie dictate that Jackson ran 10 miles?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,pray,Owen shoveled snow last winter,stim,,0.53,12019,8,F,Ashley,Did Kathleen pray that Owen shoveled snow last winter?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,scream,Natasha got a promotion,stim,,0.78,11528,9,F,Karen,Did Ben scream that Natasha got a promotion?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,alarm,Frank got a cat,stim,,0.32,7216,10,M,Thomas,Is Catherine alarmed that Frank got a cat?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,offend,Dylan argued with his parents,stim,,0.32,9439,11,F,Sandra,Is Regina offended that Dylan argued with his parents?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,gossip,Connor fell from a tree,stim,,0.64,8644,12,M,Richard,Did Anna gossip that Connor fell from a tree?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,joke,Isabella ate a steak on Sunday,stim,,0.36,10603,13,F,Donna,Did Manuel joke that Isabella ate a steak on Sunday?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,insult,Fred missed the train,stim,,0.15,10168,14,F,Kimberly,Is Cynthia insulted that Fred missed the train?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,,Mary's aunt is sick,control,,0.91,5688,15,M,Christopher,Is Mary's aunt sick?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,anticipate,Mia drank 2 cocktails last night,stim,,0.47,12160,16,F,Margaret,Did Alan anticipate that Mia drank 2 cocktails last night?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,elaborate,Audrey went to a party,stim,,0.58,12744,17,M,David,Did Dennis elaborate that Audrey went to a party?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,,Zack is coming to the meeting tomorrow,control,,0.99,8967,18,M,Matthew,Is Zack coming to the meeting tomorrow?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,fantasize,Julian cleaned his room,stim,,0.11,9620,19,F,Betty,Did Rebecca fantasize that Julian cleaned his room?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,whine,Josh learned to ride a bike yesterday,stim,,0.12,8744,20,F,Helen,Did Amy whine that Josh learned to ride a bike yesterday?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,suppose,Allen went to the museum,stim,,0.4,14888,21,F,Jessica,Did Melissa suppose that Allen went to the museum?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,tweet,Charley spilled the wine,stim,,0.23,7444,22,M,Robert,Did Ruth tweet that Charley spilled the wine?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,trouble,Valerie booked the venue,stim,,0.05,7047,23,M,James,Is Ray troubled that Valerie booked the venue?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,,Vanessa is good at math,control,,0.97,5184,24,F,Susan,Is Vanessa good at math?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,express,Olivia left her job,stim,,0.77,7365,25,M,Paul,Did Patrick express that Olivia left her job?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,bet,Lucas bought new shoes,stim,,0.21,6588,26,F,Lisa,Did Amanda bet that Lucas bought new shoes?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,enjoy,Courtney woke up early yesterday,stim,,0.14,8535,27,M,Steven,Did Justin enjoy that Courtney woke up early yesterday?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,thrill,Sophia got a tattoo,stim,,0.11,5572,28,F,Jennifer,Is Scott thrilled that Sophia got a tattoo?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,pain,Jon went out for dinner,stim,,0.07,9080,29,F,Michelle,Is Brenda pained that Jon went out for dinner?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,cringe,Cole celebrated his friend's birthday,stim,,0.04,9060,30,M,Kenneth,Did Heather cringe that Cole celebrated his friend's birthday?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,,Madison had a baby,control,,0.98,4388,31,F,Elizabeth,Did Madison have a baby?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,excite,Danielle painted her room,stim,,0.14,9884,32,M,George,Is Eli excited that Danielle painted her room?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,verify,Emilia looked after the kids,stim,,0.87,9843,33,M,William,Did Brian verify that Emilia looked after the kids?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,,Hendrick's car was expensive,control,,0.96,6070,34,F,Linda,Was Hendrick's car expensive?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1613,condition1,,Todd played football in high school,control,,1,7496,35,F,Sarah,Did Todd play football in high school?,[],30,Yes,,4,2,Male,English ,Chrome,Windows,1080,1920,6.871666666666667,
1604,condition1,,,,Jessica,Jessica,0,1,,,bot_check,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,whine,Julian cleaned his room,stim,,0.06,17916,3,F,Sandra,Did Rebecca whine that Julian cleaned his room?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,enjoy,Natasha got a promotion,stim,,0.02,6809,4,M,Matthew,Did Bobby enjoy that Natasha got a promotion?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,surprise,Connor fell from a tree,stim,,0.02,7230,5,M,Mark,Is Shirley surprised that Connor fell from a tree?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,murmur,Emilia looked after the kids,stim,,0.01,12917,6,F,Donna,Did Ben murmur that Emilia looked after the kids?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,compute,Valerie booked the venue,stim,,0.02,8304,7,F,Jessica,Did Manuel compute that Valerie booked the venue?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,shout,Sophia got a tattoo,stim,,0.04,9320,8,F,Elizabeth,Did Brian shout that Sophia got a tattoo?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,,Mary's aunt is sick,control,,0.97,10034,9,F,Karen,Is Mary's aunt sick?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,celebrate,Danny ate the last cupcake,stim,,0.01,5759,10,F,Michelle,Did Catherine celebrate that Danny ate the last cupcake?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,excite,Danielle painted her room,stim,,0.01,6935,11,M,Robert,Is Andrew excited that Danielle painted her room?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,fantasize,Jason made a cake,stim,,0.01,7631,12,F,Margaret,Did Nicole fantasize that Jason made a cake?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,,Zack is coming to the meeting tomorrow,control,,0.97,6190,13,M,Christopher,Is Zack coming to the meeting tomorrow?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,offend,Isabella ate a steak on Sunday,stim,,0.01,5808,14,F,Nancy,Is Kevin offended that Isabella ate a steak on Sunday?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,verify,Josie went on vacation to France,stim,,0.14,10966,15,M,George,Did Eli verify that Josie went on vacation to France?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,think,Mary planted a tree,stim,,0.02,4647,16,F,Linda,Did Alan think that Mary planted a tree?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,shock,Olivia left her job,stim,,0.02,5271,17,F,Ashley,Is Francisco shocked that Olivia left her job?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,envision,Owen shoveled snow last winter,stim,,0.04,12214,18,F,Dorothy,Did Amanda envision that Owen shoveled snow last winter?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,love,Mia drank 2 cocktails last night,stim,,0.02,20398,19,M,Logan,Did Justin love that Mia drank 2 cocktails last night?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,cringe,Josh learned to ride a bike yesterday,stim,,0.02,6174,20,F,Betty,Did Stephanie cringe that Josh learned to ride a bike yesterday?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,torture,Jayden rented a car,stim,,0.03,4694,21,M,William,Is Cynthia tortured that Jayden rented a car?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,weep,Emma studied on Saturday morning,stim,,0.03,14038,22,F,Lisa,Did Colby weep that Emma studied on Saturday morning?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,,Hendrick's car was expensive,control,,0.98,9047,23,M,Kenneth,Was Hendrick's car expensive?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,resent,Charley spilled the wine,stim,,0.02,5367,24,F,Kimberly,Did Kaitlin resent that Charley spilled the wine?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,,Todd played football in high school,control,,0.97,9312,25,F,Helen,Did Todd play football in high school?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,write,Jon went out for dinner,stim,,0.05,4662,26,F,Jennifer,Did Regina write that Jon went out for dinner?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,express,Zoe calculated the tip,stim,,0.02,16230,27,F,Sarah,Did Jerry express that Zoe calculated the tip?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,dictate,Molly attended a conference last week,stim,,0.02,8766,28,F,Susan,Did Ray dictate that Molly attended a conference last week?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,embarrass,Cole celebrated his friend's birthday,stim,,0.02,11942,29,M,Richard,Is Melissa embarrassed that Cole celebrated his friend's birthday?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,,Madison had a baby,control,,0.96,5861,30,F,Carol,Did Madison have a baby?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,argue,Allen went to the museum,stim,,0.04,5249,31,M,Steven,Did Laura argue that Allen went to the museum?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,anticipate,Jackson ran 10 miles,stim,,0.04,8357,32,M,David,Did Anna anticipate that Jackson ran 10 miles?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,squeal,Tony had a drink last night,stim,,0.02,4368,33,M,Paul,Did Ruth squeal that Tony had a drink last night?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,,Vanessa is good at math,control,,0.97,9039,34,M,Thomas,Is Vanessa good at math?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1604,condition1,pain,Frank got a cat,stim,,0.02,6503,35,M,James,Is Sharon pained that Frank got a cat?,[],69,Yes,,3,2,Female,English,Firefox,Windows,864,1536,6.182716666666667,
1733,condition1,,,,Mary,Mary,0,1,,,bot_check,[],29,Yes,"None, thank you!",3,2,Female,English,Chrome,Windows,720,1280,10.0311,
1733,condition1,aggravate,Julian cleaned his room,stim,,0.09,10067,3,M,Kenneth,Is Shirley aggravated that Julian cleaned his room?,[],29,Yes,"None, thank you!",3,2,Female,English,Chrome,Windows,720,1280,10.0311,
