workerid,proliferate.condition,Word,content,exp,object,response,rt,slide_number_in_experiment,speakerGender,speakerName,utterance,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
309,experiment,simulate,Emily bought a car yesterday,stim,,no,6272,29,F,Elizabeth,Did Justin simulate that Emily bought a car yesterday?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,verify,Josh learned to ride a bike yesterday,stim,,no,4937,30,F,Michelle,Did Kathleen verify that Josh learned to ride a bike yesterday?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,embarrass,Isabella ate a steak on Sunday,stim,,yes,4657,31,M,James,Is Alan embarrassed that Isabella ate a steak on Sunday?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,,Mary's aunt is sick,control,,no,2128,32,F,Jessica,Is Mary's aunt sick?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,,Madison had a baby,control,,no,2288,33,F,Linda,Did Madison have a baby?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,,Todd played football in high school,control,,no,3064,34,M,Richard,Did Todd play football in high school?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,write,Connor fell from a tree,stim,,no,3393,35,M,Logan,Did Rebecca write that Connor fell from a tree?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,alarm,Jon went out for dinner,stim,,yes,8553,36,M,Mark,Is Catherine alarmed that Jon went out for dinner?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,ignore,Sophia got a tattoo,stim,,yes,5665,37,F,Nancy,Did Francisco ignore that Sophia got a tattoo?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,,Vanessa is good at math,control,,no,1856,38,F,Sarah,Is Vanessa good at math?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,tweet,Audrey went to a party,stim,,no,4361,39,F,Sandra,Did Tim tweet that Audrey went to a party?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,irritate,Julian cleaned his room,stim,,yes,7289,40,F,Helen,Is Amy irritated that Julian cleaned his room?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
309,experiment,feel,Zoe calculated the tip,stim,,no,5769,41,F,Dorothy,Did Scott feel that Zoe calculated the tip?,[],38,Yes,,0,2,Male,English,Chrome,Windows,1080,1920,4.671,
329,experiment,,,,,5c4d5328889752000156a11d,0,1,,,,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,,,,Margaret,Margaret,0,2,,,bot_check,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,envision,Grace visited her sister,stim,,no,13928,9,M,Steven,Did Scott envision that Grace visited her sister?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,enjoy,Cole celebrated his friend's birthday,stim,,yes,11882,10,M,Kenneth,Did Amy enjoy that Cole celebrated his friend's birthday?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,dictate,Molly attended a conference last week,stim,,no,7504,11,M,George,Did Tim dictate that Molly attended a conference last week?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,aggravate,Mary planted a tree,stim,,yes,7264,12,F,Michelle,Is Patrick aggravated that Mary planted a tree?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,retract,Emily bought a car yesterday,stim,,no,5767,13,M,James,Did Ben retract that Emily bought a car yesterday?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,murmur,Julian cleaned his room,stim,,no,4330,14,F,Margaret,Did Shirley murmur that Julian cleaned his room?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,insult,Danny ate the last cupcake,stim,,yes,5167,15,F,Sandra,Is Heather insulted that Danny ate the last cupcake?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,thrill,Zoe calculated the tip,stim,,yes,6311,16,M,Thomas,Is Jerry thrilled that Zoe calculated the tip?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,irritate,Hannah called her parents,stim,,yes,4432,17,F,Jennifer,Is Kevin irritated that Hannah called her parents?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,testify,Frank got a cat,stim,,no,3010,18,F,Donna,Did Cynthia testify that Frank got a cat?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,weep,Natasha got a promotion,stim,,yes,3972,19,F,Helen,Did Justin weep that Natasha got a promotion?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,offend,Louis went swimming,stim,,yes,3860,20,F,Ashley,Is Catherine offended that Louis went swimming?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,gossip,Josie went on vacation to France,stim,,no,3622,21,F,Elizabeth,Did Dennis gossip that Josie went on vacation to France?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,,Madison had a baby,control,,no,2922,22,M,David,Did Madison have a baby?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,alarm,Tony had a drink last night,stim,,yes,7225,23,F,Sarah,Is Rebecca alarmed that Tony had a drink last night?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,squeal,Danielle painted her room,stim,,no,2364,24,F,Linda,Did Brian squeal that Danielle painted her room?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,,Mary's aunt is sick,control,,no,1865,25,F,Lisa,Is Mary's aunt sick?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,fantasize,Sophia got a tattoo,stim,,no,2870,26,M,Mark,Did Manuel fantasize that Sophia got a tattoo?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,surprise,Charley spilled the wine,stim,,yes,2323,27,F,Dorothy,Is Melissa surprised that Charley spilled the wine?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,expose,Allen went to the museum,stim,,yes,6452,28,F,Betty,Did Regina expose that Allen went to the museum?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,,Vanessa is good at math,control,,no,1513,29,M,William,Is Vanessa good at math?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,argue,Jon went out for dinner,stim,,no,1774,30,M,Logan,Did Kaitlin argue that Jon went out for dinner?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,,Zack is coming to the meeting tomorrow,control,,no,3474,31,F,Karen,Is Zack coming to the meeting tomorrow?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,ignore,Jayden rented a car,stim,,yes,9768,32,F,Carol,Did Brenda ignore that Jayden rented a car?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,bet,Lucas bought new shoes,stim,,no,4430,33,F,Susan,Did Stephanie bet that Lucas bought new shoes?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,verify,Emilia looked after the kids,stim,,no,4865,34,F,Jessica,Did Andrew verify that Emilia looked after the kids?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,,Todd played football in high school,control,,no,1732,35,M,Christopher,Did Todd play football in high school?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,,Hendrick's car was expensive,control,,no,1523,36,M,Paul,Was Hendrick's car expensive?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,trouble,Mia drank 2 cocktails last night,stim,,yes,2690,37,F,Nancy,Is Alan troubled that Mia drank 2 cocktails last night?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,facinate,Audrey went to a party,stim,,yes,3670,38,M,Robert,Is Colby fascinated that Audrey went to a party?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,amuse,Courtney woke up early yesterday,stim,,yes,16409,39,M,Richard,Is Eli amused that Courtney woke up early yesterday?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,think,Fred missed the train,stim,,no,2714,40,M,Matthew,Did Anna think that Fred missed the train?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
329,experiment,pray,Jason made a cake,stim,,no,3190,41,F,Kimberly,Did Nicole pray that Jason made a cake?,[],49,Yes,"Most of the items seemed to have clear answers, but a few seemed somewhat ambiguous. I wonder if this is what you think.",3,1,Male,English,Chrome,Linux,768,1366,6.079366666666667,
246,experiment,,,,,5a7dfc2c5292b8000122bd74,0,1,,,,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,,,,Linda,Linda,0,2,,,bot_check,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,require,Natasha got a promotion,stim,,yes,9933,9,F,Linda,Did Tim require that Natasha got a promotion?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,enjoy,Jason made a cake,stim,,yes,3763,10,F,Donna,Did Kaitlin enjoy that Jason made a cake?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,alarm,Courtney woke up early yesterday,stim,,yes,5622,11,F,Lisa,Is Alan alarmed that Courtney woke up early yesterday?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,suppose,Hannah called her parents,stim,,yes,10462,12,M,Mark,Did Francisco suppose that Hannah called her parents?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,facinate,Isabella ate a steak on Sunday,stim,,yes,5128,13,F,Elizabeth,Is Ben fascinated that Isabella ate a steak on Sunday?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,dictate,Emilia looked after the kids,stim,,yes,3662,14,M,Paul,Did Manuel dictate that Emilia looked after the kids?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,trouble,Josie went on vacation to France,stim,,yes,3352,15,M,James,Is Andrew troubled that Josie went on vacation to France?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,charm,Jon went out for dinner,stim,,yes,4528,16,M,Robert,Is Ruth charmed that Jon went out for dinner?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,offend,Tony had a drink last night,stim,,yes,4458,17,M,Kenneth,Is Sharon offended that Tony had a drink last night?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,,Todd played football in high school,control,,no,2608,18,F,Sandra,Did Todd play football in high school?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,scream,Danny ate the last cupcake,stim,,yes,3926,19,F,Sarah,Did Laura scream that Danny ate the last cupcake?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,resent,Allen went to the museum,stim,,yes,4456,20,F,Carol,Did Catherine resent that Allen went to the museum?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,,Madison had a baby,control,,no,2384,21,M,David,Did Madison have a baby?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,surprise,Josh learned to ride a bike yesterday,stim,,yes,4043,22,M,Logan,Is Melissa surprised that Josh learned to ride a bike yesterday?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,simulate,Molly attended a conference last week,stim,,no,9078,23,F,Jennifer,Did Patrick simulate that Molly attended a conference last week?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,aggravate,Connor fell from a tree,stim,,yes,2896,24,M,Matthew,Is Rebecca aggravated that Connor fell from a tree?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,,Zack is coming to the meeting tomorrow,control,,no,2296,25,F,Ashley,Is Zack coming to the meeting tomorrow?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,,Hendrick's car was expensive,control,,no,3758,26,F,Michelle,Was Hendrick's car expensive?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,anticipate,Lucas bought new shoes,stim,,yes,6576,27,M,Thomas,Did Stephanie anticipate that Lucas bought new shoes?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,shout,Dylan argued with his parents,stim,,no,5110,28,F,Kimberly,Did Kathleen shout that Dylan argued with his parents?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,squeal,Jackson ran 10 miles,stim,,no,5736,29,M,Richard,Did Cynthia squeal that Jackson ran 10 miles?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,joke,Sophia got a tattoo,stim,,no,3069,30,M,George,Did Dennis joke that Sophia got a tattoo?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,write,Louis went swimming,stim,,no,2143,31,F,Jessica,Did Anna write that Louis went swimming?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,feel,Mia drank 2 cocktails last night,stim,,no,4055,32,F,Dorothy,Did Kevin feel that Mia drank 2 cocktails last night?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,distress,Grace visited her sister,stim,,yes,5229,33,F,Susan,Is Noah distressed that Grace visited her sister?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,disgust,Emily bought a car yesterday,stim,,yes,3151,34,M,William,Is Colby disgusted that Emily bought a car yesterday?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,cringe,Frank got a cat,stim,,yes,2831,35,F,Margaret,Did Nicole cringe that Frank got a cat?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,love,Audrey went to a party,stim,,yes,2573,36,F,Karen,Did Justin love that Audrey went to a party?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,,Mary's aunt is sick,control,,no,2311,37,M,Steven,Is Mary's aunt sick?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,weep,Julian cleaned his room,stim,,yes,4832,38,F,Nancy,Did Amy weep that Julian cleaned his room?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,,Vanessa is good at math,control,,no,1717,39,F,Helen,Is Vanessa good at math?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,tweet,Olivia left her job,stim,,no,4239,40,M,Christopher,Did Ray tweet that Olivia left her job?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
246,experiment,promise,Zoe calculated the tip,stim,,no,6862,41,F,Betty,Did Eli promise that Zoe calculated the tip?,[],35,Yes,,3,1,Male,English,Chrome,Windows,1200,1920,33.544783333333335,
320,experiment,,,,,5accdfaebf2ab00001aa8215,0,1,,,,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,,,,Jennifer,Jennifer,0,2,,,bot_check,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,,Vanessa is good at math,control,,no,8699,9,M,Matthew,Is Vanessa good at math?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,cringe,Lucas bought new shoes,stim,,yes,12230,10,F,Sarah,Did Anna cringe that Lucas bought new shoes?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,argue,Natasha got a promotion,stim,,yes,14177,11,M,Paul,Did Colby argue that Natasha got a promotion?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,shock,Emma studied on Saturday morning,stim,,yes,9956,12,F,Jennifer,Is Bobby shocked that Emma studied on Saturday morning?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,,Hendrick's car was expensive,control,,no,5006,13,F,Ashley,Was Hendrick's car expensive?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,require,Courtney woke up early yesterday,stim,,yes,13933,14,M,William,Did Eli require that Courtney woke up early yesterday?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,alarm,Tony had a drink last night,stim,,yes,9688,15,M,Richard,Is Melissa alarmed that Tony had a drink last night?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,enjoy,Dylan argued with his parents,stim,,yes,6860,16,M,James,Did Rebecca enjoy that Dylan argued with his parents?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,thrill,Mia drank 2 cocktails last night,stim,,yes,6210,17,M,Steven,Is Kevin thrilled that Mia drank 2 cocktails last night?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,feel,Fred missed the train,stim,,no,13175,18,F,Michelle,Did Catherine feel that Fred missed the train?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,facinate,Danny ate the last cupcake,stim,,yes,7443,19,F,Sandra,Is Nicole fascinated that Danny ate the last cupcake?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,squeal,Sophia got a tattoo,stim,,yes,4507,20,F,Helen,Did Francisco squeal that Sophia got a tattoo?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,elaborate,Jon went out for dinner,stim,,yes,5643,21,M,Thomas,Did Cynthia elaborate that Jon went out for dinner?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,whine,Isabella ate a steak on Sunday,stim,,yes,7290,22,F,Carol,Did Dennis whine that Isabella ate a steak on Sunday?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,tweet,Owen shoveled snow last winter,stim,,no,7104,23,F,Susan,Did Laura tweet that Owen shoveled snow last winter?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,embarrass,Jason made a cake,stim,,yes,3981,24,F,Karen,Is Sharon embarrassed that Jason made a cake?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,,Todd played football in high school,control,,no,7201,25,F,Margaret,Did Todd play football in high school?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,,Madison had a baby,control,,no,4559,26,F,Nancy,Did Madison have a baby?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
320,experiment,excite,Danielle painted her room,stim,,yes,4706,27,F,Elizabeth,Is Brian excited that Danielle painted her room?,[],67,Yes,,3,2,Male,English,Chrome,Linux,720,1280,7.629216666666666,
