workerid,proliferate.condition,age,asses,comments,education,enjoyment,gender,language,error
88,experiment,51,Yes,Made you think quick. fun survey,3,2,Male,English,
77,experiment,28,Yes,"Pretty fun task, I like trying to comprehend strangely worded sentences",2,2,Male,English,
183,experiment,23,Yes,Everything worked fine and was clear and straightforward.,3,1,Female,English,
60,experiment,27,Yes,,1,1,Male,English,
33,experiment,30,Yes,,3,1,Male,english,
40,experiment,24,Yes,,3,1,Other,English,
172,experiment,36,Yes,,2,2,Male,English,
122,experiment,23,Yes,,1,1,Male,English,
107,experiment,35,Yes,,4,2,Female,English,
170,experiment,25,Yes,,3,1,Female,English,
153,experiment,23,Yes,,3,1,Female,english,
187,experiment,23,Confused,,3,2,Male,English,
80,experiment,23,Yes,"It was honestly a little more challenging than I anticipated. Enjoyed it, so thank you!",2,2,Female,English,
146,experiment,20,Yes,I completed the task to the best of my abilities but if there were any discrepancies it was likely due to the time constraint.,1,1,Male,English,
42,experiment,79,Yes,,4,2,Male,English,
168,experiment,36,Yes,,3,1,Female,English,
141,experiment,23,Yes,,2,1,Male,English,
136,experiment,23,No,"The wording of some of the sentences was really awkward, and I felt really stressed by the time limit so that pressure sometimes made the more-awkward sentences even harder to understand (such as ""Did __ cringe that __ bought a car?"" which is a weird way to use the word cringe and it doesn't work very well as a verb wit that phrasing)",3,0,Other,English,
193,experiment,32,Yes,,4,1,Female,English,
43,experiment,24,No,,2,0,Male,English,
58,experiment,30,Yes,,0,1,Female,English,
161,experiment,58,Yes,,3,1,Male,english,
108,experiment,45,Yes,Thank you and good luck!!,2,2,Female,English,
130,experiment,29,Yes,,4,1,Female,English,
143,experiment,33,Yes,i selected incorrectly the first? or second question,4,2,Male,english,
