"","Word","voice","frame","sentence","valence_group","valence_bin","valence_bin_group","arousal_bin","carousal_mean","crelativeValence","valence_mean","mean_residuals_abs","mean_acceptability_norm","projectivity_mean","valence_arousal_group","highlight_word"
"43","shout","active","that_S","John didn't shout that a particular thing happened","negative","slightly negative","low","high",1.97312220566319,-0.865760245948317,-0.050080281508007,0.267502993550927,0.370330040042468,0,"low valence, high arousal",1
"44","expose","active","that_S","John didn't expose that a particular thing happened","negative","slightly negative","low","high",1.57312220566319,-0.19119306476559,-0.724647462690735,0.271767889417601,0.520227596834452,0.25,"low valence, high arousal",1
"45","joke","active","that_S","John didn't joke that a particular thing happened","positive","very positive","high positive","high",1.41312220566319,1.29309486755457,2.20893539501089,0.28992909022893,0.53893172862201,0,"high positive valence, high arousal",1
"46","scream","active","that_S","John didn't scream that a particular thing happened","negative","moderately negative","high negative","high",2.42312220566319,0.687313031658427,-1.60315355911475,0.290300815659831,0.770381448654655,0.142857142857143,"high negative valence, high arousal",1
"47","testify","active","that_S","John didn't testify that a particular thing happened","negative","slightly negative","low","high",1.84312220566319,-0.512789046492239,-0.403051480964085,0.291208798280969,0.262838058144672,-0.25,"low valence, high arousal",1
"48","aggravate","passive","that_S","John wasn't aggravated that a particular thing happened","negative","very negative","high negative","high",1.58312220566319,1.05597183997922,-1.97181236743554,0.297430775740573,0.731281007077106,0.571428571428571,"high negative valence, high arousal",1
"49","thrill","passive","that_S","John wasn't thrilled that a particular thing happened","positive","very positive","high positive","high",2.87312220566319,0.893060841504348,1.80890136896067,0.29937824218194,0.866712964820052,0.888888888888889,"high positive valence, high arousal",1
"50","gossip","active","that_S","John didn't gossip that a particular thing happened","negative","moderately negative","high negative","low",-0.40687779433681,0.310810418905277,-1.2266509463616,0.302894490039837,0.624989492438524,0.25,"high negative valence, low arousal",1
"51","whine","active","that_S","John didn't whine that a particular thing happened","negative","moderately negative","high negative","low",-0.69687779433681,0.844189120305573,-1.7600296477619,0.320988320259889,0.636565582590997,0.8,"high negative valence, low arousal",1
"52","celebrate","active","that_S","John didn't celebrate that a particular thing happened","positive","very positive","high positive","high",2.41312220566319,1.26171964982514,2.17756017728147,0.344453518962553,0.564385099631607,0.714285714285714,"high positive valence, high arousal",1
"53","alarm","passive","that_S","John wasn't alarmed that a particular thing happened","negative","slightly negative","low","high",2.53312220566319,0.0284334593404144,-0.944273986796739,0.504233873047026,0.716470457349983,0.166666666666667,"low valence, high arousal",1
"54","anticipate","active","that_S","John didn't anticipate that a particular thing happened","positive","slightly positive","low","high",1.38312220566319,-0.181540365728602,0.734300161727723,0.546909298124386,0.800997603916626,0.555555555555556,"low valence, high arousal",1
